Quarter,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Rent Expense Supplemental,Rent And Landing Fees,Salaries And Wages,Earnings From Equity Interest,Total Other Finance Cost,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Insurance And Claims,Amortization,Amortization Of Intangibles Income Statement,Write Off,Other Taxes,Average Dilution Earnings,Gain On Sale Of Ppe,Minority Interests,Otherunder Preferred Stock Dividend,Securities Amortization,Gain On Sale Of Business,Earnings From Equity Interest Net Of Tax,Impairment Of Capital Assets,Preferred Stock Dividends,Net Income Discontinuous Operations,Depreciation Income Statement,Provision For Doubtful Accounts,Net Income From Tax Loss Carryforward
2023-06-30,-23257356.866121,0.211623,1324000000.0,915700000.0,41400000.0,308600000.0,1214100000.0,1172700000.0,133500000.0,11200000.0,144700000.0,1002342643.133879,915700000.0,1356900000.0,1026400000.0,260400000.0,257700000.0,3.52,3.55,915700000.0,915700000.0,915700000.0,915700000.0,915700000.0,245800000.0,1161500000.0,133500000.0,11200000.0,144700000.0,1136300000.0,1048300000.0,,785700000.0,262600000.0,,,,2184600000.0,308600000.0,2493200000.0,2493200000.0,VRTX,-109900000.0,-109900000.0,-108300000.0,1600000.0,-109900000.0,110500000.0,-600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,44232000.0,0.12,1395000000.0,1432300000.0,120700000.0,480200000.0,1763600000.0,1642900000.0,164600000.0,14800000.0,179400000.0,1107932000.0,1432300000.0,2453600000.0,1069600000.0,115400000.0,108100000.0,12.41,13.25,1432300000.0,1432300000.0,1432300000.0,1432300000.0,1432300000.0,195800000.0,1628100000.0,164600000.0,14800000.0,179400000.0,1093500000.0,1973400000.0,14600000.0,1200000000.0,758800000.0,,,,3066900000.0,480200000.0,3547100000.0,3442600000.0,REGN,368600000.0,368600000.0,370000000.0,1400000.0,-23900000.0,23900000.0,,392500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,-81320000.0,0.4,1034200000.0,722000000.0,114100000.0,433800000.0,830900000.0,716800000.0,145400000.0,16100000.0,161500000.0,843980000.0,722000000.0,2386500000.0,751400000.0,115100000.0,107800000.0,6.27,6.7,722000000.0,722000000.0,722000000.0,722000000.0,722000000.0,-21300000.0,700700000.0,145400000.0,16100000.0,161500000.0,758500000.0,1952700000.0,15300000.0,1248400000.0,689000000.0,,,,2711200000.0,433800000.0,3145000000.0,3028100000.0,REGN,-203300000.0,-203300000.0,-203200000.0,100000.0,-7100000.0,7100000.0,7100000.0,-196200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,3192000.0,0.21,1263700000.0,1159600000.0,113000000.0,517000000.0,1278900000.0,1165900000.0,130400000.0,18300000.0,148700000.0,1147592000.0,1159600000.0,2431400000.0,972900000.0,113800000.0,106600000.0,10.19,10.88,1159600000.0,1159600000.0,1159600000.0,1159600000.0,1159600000.0,-12000000.0,1147600000.0,130400000.0,18300000.0,148700000.0,1002900000.0,1914400000.0,-500000.0,1177200000.0,737700000.0,,,,2917300000.0,517000000.0,3434300000.0,3221800000.0,REGN,15200000.0,15200000.0,14300000.0,-900000.0,-30000000.0,30000000.0,30000000.0,45200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,-18627900.0,0.093,1434300000.0,1007800000.0,105400000.0,436400000.0,1234000000.0,1128600000.0,115900000.0,17800000.0,133700000.0,1189472100.0,1007800000.0,2151700000.0,1111000000.0,113400000.0,106300000.0,8.89,9.48,1007800000.0,1007800000.0,1007800000.0,1007800000.0,1007800000.0,103000000.0,1110800000.0,115900000.0,17800000.0,133700000.0,1211000000.0,1715300000.0,-500000.0,1075300000.0,640500000.0,,,,2926300000.0,436400000.0,3362700000.0,3224400000.0,REGN,-200300000.0,-200300000.0,-216100000.0,-15800000.0,-100000000.0,100000000.0,100000000.0,-100300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,-3275400.0,0.106,1235800000.0,968400000.0,103100000.0,404900000.0,1204900000.0,1101800000.0,99400000.0,18900000.0,118300000.0,996024600.0,968400000.0,2141600000.0,1016500000.0,113900000.0,107000000.0,8.5,9.05,968400000.0,968400000.0,968400000.0,968400000.0,968400000.0,114500000.0,1082900000.0,99400000.0,18900000.0,118300000.0,1016500000.0,1736700000.0,-600000.0,1085300000.0,652000000.0,,,,2753200000.0,404900000.0,3158100000.0,3088800000.0,REGN,-30900000.0,-30900000.0,-33000000.0,-2100000.0,0.0,,0.0,-30900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGN,,,,,,56100000.0,56100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,-11971890.0,0.21,103792000.0,-16889000.0,24692000.0,68672000.0,46783000.0,22091000.0,-4076000.0,33258000.0,29182000.0,28148110.0,-16889000.0,611211000.0,48614000.0,126733000.0,126733000.0,-0.13,-0.13,-16889000.0,-16889000.0,-16889000.0,-16889000.0,-16889000.0,5722000.0,-11167000.0,-4076000.0,33258000.0,29182000.0,48614000.0,542539000.0,,294142000.0,248397000.0,,248397000.0,66731000.0,591153000.0,68672000.0,659825000.0,659825000.0,ALNY,-57009000.0,-57009000.0,-55705000.0,1304000.0,,,,-57009000.0,43955000.0,43955000.0,137711000.0,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,-3403200.0,0.4,5660000.0,-65935000.0,25486000.0,65976000.0,-2848000.0,-28334000.0,-5608000.0,35253000.0,29645000.0,-60830200.0,-65935000.0,537768000.0,-43435000.0,126138000.0,126138000.0,-0.52,-0.52,-65935000.0,-65935000.0,-65935000.0,-65935000.0,-65935000.0,2348000.0,-63587000.0,-5608000.0,35253000.0,29645000.0,-43435000.0,471792000.0,,260995000.0,210797000.0,,210797000.0,56759000.0,428357000.0,65976000.0,494333000.0,494333000.0,ALNY,-8508000.0,-8508000.0,-14544000.0,-6036000.0,,,,-8508000.0,36697000.0,36697000.0,117341000.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,-4690350.0,0.21,-60041000.0,-137870000.0,23973000.0,85858000.0,-82376000.0,-106349000.0,-932000.0,31338000.0,30406000.0,-120225350.0,-137870000.0,556122000.0,-116404000.0,125613000.0,125613000.0,-1.1,-1.1,-137870000.0,-137870000.0,-137870000.0,-137870000.0,-137870000.0,183000.0,-137687000.0,-932000.0,31338000.0,30406000.0,-116404000.0,470264000.0,,272141000.0,198123000.0,,198123000.0,63941000.0,353860000.0,85858000.0,439718000.0,439718000.0,ALNY,-22335000.0,-22335000.0,-20351000.0,1984000.0,0.0,,,-22335000.0,37417000.0,37417000.0,96765000.0,,,,,,,,,,,,,,,,,,,,,,
