Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,GLPG,NA,GLPG,NA,GLPG,NA,GLPG,NA,GLPG,NA,GLPG,NA
Date,,,,,,,,,,,,
2018-01-02 00:00:00+00:00,94.51000213623047,,94.51000213623047,,94.66999816894531,,93.18000030517578,,93.94000244140625,,71200,
2018-01-03 00:00:00+00:00,97.33999633789062,,97.33999633789062,,98.11000061035156,,96.4800033569336,,97.87000274658203,,85900,
2018-01-04 00:00:00+00:00,97.33000183105469,,97.33000183105469,,97.62999725341797,,96.13999938964844,,96.79000091552734,,44800,
2018-01-05 00:00:00+00:00,98.3499984741211,,98.3499984741211,,98.68000030517578,,97.4800033569336,,98.0999984741211,,42400,
2018-01-08 00:00:00+00:00,101.0,,101.0,,102.33000183105469,,100.61000061035156,,102.33000183105469,,127400,
2018-01-09 00:00:00+00:00,102.41999816894531,,102.41999816894531,,102.98999786376953,,101.06999969482422,,101.19999694824219,,91400,
2018-01-10 00:00:00+00:00,103.25,,103.25,,103.5999984741211,,102.56999969482422,,103.08999633789062,,41200,
2018-01-11 00:00:00+00:00,104.44000244140625,,104.44000244140625,,104.69000244140625,,103.62000274658203,,103.79000091552734,,51200,
2018-01-12 00:00:00+00:00,108.37999725341797,,108.37999725341797,,108.47000122070312,,106.75,,106.9000015258789,,107800,
2018-01-16 00:00:00+00:00,110.86000061035156,,110.86000061035156,,113.04000091552734,,110.58000183105469,,112.87999725341797,,136800,
2018-01-17 00:00:00+00:00,109.75,,109.75,,110.83999633789062,,109.44999694824219,,110.19999694824219,,78500,
2018-01-18 00:00:00+00:00,109.5,,109.5,,110.16999816894531,,109.19000244140625,,109.69999694824219,,48900,
2018-01-19 00:00:00+00:00,112.44000244140625,,112.44000244140625,,112.4800033569336,,111.0,,112.08000183105469,,98100,
2018-01-22 00:00:00+00:00,115.7699966430664,,115.7699966430664,,116.31999969482422,,112.13999938964844,,112.41000366210938,,197500,
2018-01-23 00:00:00+00:00,115.70999908447266,,115.70999908447266,,115.81999969482422,,114.01000213623047,,114.4000015258789,,111900,
2018-01-24 00:00:00+00:00,114.13999938964844,,114.13999938964844,,115.68000030517578,,113.63999938964844,,115.66000366210938,,116200,
2018-01-25 00:00:00+00:00,115.12999725341797,,115.12999725341797,,116.33999633789062,,114.4800033569336,,116.11000061035156,,112600,
2018-01-26 00:00:00+00:00,117.41999816894531,,117.41999816894531,,117.86000061035156,,116.7300033569336,,117.75,,105600,
