Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1565.4000244140625,1682.0,1524.219970703125,1681.800048828125,1658.9290771484375,60880
2018-01-03,1680.0,1776.1800537109375,1672.0,1744.199951171875,1720.4801025390625,67130
2018-01-04,1773.199951171875,1773.199951171875,1654.800048828125,1690.800048828125,1667.806396484375,55650
2018-01-05,1704.5999755859375,1706.9599609375,1637.199951171875,1671.4000244140625,1648.6702880859375,46095
2018-01-08,1676.5999755859375,1676.5999755859375,1522.5999755859375,1568.0,1546.6763916015625,93545
2018-01-09,1587.0,1703.0,1587.0,1687.5999755859375,1664.6500244140625,74290
2018-01-10,1662.0,1761.5999755859375,1603.800048828125,1756.0,1732.1199951171875,62785
2018-01-11,1753.0,1798.0,1718.199951171875,1786.0,1761.7119140625,52595
2018-01-12,1791.800048828125,1832.0,1772.0,1814.199951171875,1789.5283203125,42720
2018-01-16,1839.4000244140625,1858.0,1632.0,1648.199951171875,1625.785888671875,115710
2018-01-17,1726.4000244140625,1729.800048828125,1660.260009765625,1708.5999755859375,1685.364501953125,62980
2018-01-18,1693.199951171875,1738.199951171875,1649.0,1706.4000244140625,1683.1943359375,38260
2018-01-19,1713.5999755859375,1767.0,1695.97998046875,1764.5999755859375,1740.602783203125,35865
2018-01-22,1856.4000244140625,2066.0,1856.4000244140625,2056.800048828125,2028.8292236328125,89705
2018-01-23,2065.39990234375,2213.199951171875,2064.0,2194.0,2164.163330078125,56110
2018-01-24,2197.60009765625,2203.739990234375,1996.4000244140625,2087.199951171875,2058.8154296875,74880
2018-01-25,2140.0,2176.0,2060.0,2155.199951171875,2125.890625,42415
2018-01-26,2170.199951171875,2251.60009765625,2157.800048828125,2212.199951171875,2182.115966796875,45930
2018-01-29,2198.800048828125,2330.800048828125,2190.39990234375,2266.39990234375,2235.57861328125,41260
2018-01-30,2165.0,2211.0,2066.0,2127.199951171875,2098.271484375,49305
