Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,CHF,CURNCY,CHF,CURNCY,CHF,CURNCY,CHF,CURNCY,CHF,CURNCY,CHF,CURNCY
Date,,,,,,,,,,,,
2018-01-16 00:00:00+00:00,5.375,,5.375,,5.375,,5.375,,5.375,,0,
2018-01-17 00:00:00+00:00,5.375,,5.375,,5.375,,5.375,,5.375,,0,
2018-01-18 00:00:00+00:00,5.375,,5.375,,5.375,,5.375,,5.375,,0,
2018-01-19 00:00:00+00:00,5.375,,5.375,,5.375,,5.375,,5.375,,0,
2018-01-22 00:00:00+00:00,5.375,,5.375,,5.375,,5.375,,5.375,,0,
2018-01-23 00:00:00+00:00,5.375,,5.375,,5.375,,5.375,,5.375,,0,
2018-01-24 00:00:00+00:00,5.375,,5.375,,5.375,,5.375,,5.375,,0,
2018-09-26 00:00:00+00:00,6.5,,6.5,,6.5,,6.5,,6.5,,0,
