Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,CORP,US10806XAB82,CORP,US10806XAB82,CORP,US10806XAB82,CORP,US10806XAB82,CORP,US10806XAB82,CORP,US10806XAB82
Date,,,,,,,,,,,,
2018-01-02 00:00:00+00:00,83.56647491455078,,105.33000183105469,,105.62000274658203,,105.01000213623047,,105.62000274658203,,119900,
2018-01-03 00:00:00+00:00,83.53471374511719,,105.29000091552734,,105.4800033569336,,105.12000274658203,,105.18000030517578,,30900,
2018-01-04 00:00:00+00:00,83.62200164794922,,105.4000015258789,,105.51000213623047,,105.20999908447266,,105.26000213623047,,31900,
2018-01-05 00:00:00+00:00,83.62200164794922,,105.4000015258789,,105.45999908447266,,105.29000091552734,,105.41999816894531,,78600,
2018-01-08 00:00:00+00:00,83.5029525756836,,105.25,,105.44000244140625,,105.08000183105469,,105.38999938964844,,119500,
2018-01-09 00:00:00+00:00,83.30463409423828,,105.0,,105.19999694824219,,104.93000030517578,,105.0999984741211,,86100,
2018-01-10 00:00:00+00:00,83.3521728515625,,105.05999755859375,,105.06999969482422,,104.6500015258789,,104.8499984741211,,60700,
2018-01-11 00:00:00+00:00,83.47915649414062,,105.22000122070312,,105.29000091552734,,104.88999938964844,,105.0,,130400,
2018-01-12 00:00:00+00:00,83.47915649414062,,105.22000122070312,,105.25,,105.0,,105.0,,41300,
2018-01-16 00:00:00+00:00,83.51092529296875,,105.26000213623047,,105.43000030517578,,105.01000213623047,,105.43000030517578,,61000,
2018-01-17 00:00:00+00:00,83.23324584960938,,104.91000366210938,,105.3499984741211,,104.80000305175781,,105.33000183105469,,88500,
2018-01-18 00:00:00+00:00,83.07453155517578,,104.70999908447266,,104.93000030517578,,104.55000305175781,,104.80000305175781,,42300,
2018-01-19 00:00:00+00:00,82.82066345214844,,104.38999938964844,,104.7699966430664,,104.37000274658203,,104.7699966430664,,46900,
2018-01-22 00:00:00+00:00,82.7809829711914,,104.33999633789062,,104.69999694824219,,104.33000183105469,,104.44000244140625,,33200,
2018-01-23 00:00:00+00:00,83.0904312133789,,104.7300033569336,,104.80999755859375,,104.56999969482422,,104.66000366210938,,29200,
2018-01-24 00:00:00+00:00,83.11419677734375,,104.76000213623047,,104.7699966430664,,104.37000274658203,,104.66999816894531,,25300,
2018-01-25 00:00:00+00:00,83.30463409423828,,105.0,,105.0,,104.31999969482422,,104.31999969482422,,48600,
